,cell_label_1,cell_label_2,weight,level
0,0_0_2,1_1_2,1,0
1,0_0_4,1_2_0,1,0
2,0_0_6,1_7_5,1,0
3,0_1_1,1_4_6,1,0
4,0_1_5,1_8_8,1,0
5,0_1_8,1_3_2,1,0
6,0_2_3,1_6_7,1,0
7,0_2_4,1_4_1,1,0
8,0_2_6,1_3_1,1,0
9,0_2_8,1_0_3,1,0
10,0_3_0,1_8_8,1,0
11,0_3_2,1_9_7,1,0
12,0_3_3,1_9_7,1,0
13,0_3_5,1_2_1,1,0
14,0_3_6,1_3_3,1,0
15,0_3_9,1_3_0,1,0
16,0_4_0,1_9_6,1,0
17,0_4_4,1_4_3,1,0
18,0_4_5,1_8_6,1,0
19,0_4_8,1_4_0,1,0
20,0_5_1,1_8_9,1,0
21,0_5_3,1_9_9,1,0
22,0_5_5,1_6_6,1,0
23,0_5_7,1_7_9,1,0
24,0_5_8,1_5_1,1,0
25,0_5_9,1_4_6,1,0
26,0_6_0,1_5_4,1,0
27,0_6_4,1_2_2,1,0
28,0_6_5,1_9_9,1,0
29,0_6_8,1_0_3,1,0
30,0_7_1,1_5_0,1,0
31,0_7_3,1_9_9,1,0
32,0_7_7,1_7_7,1,0
33,0_8_0,1_2_2,1,0
34,0_8_4,1_4_5,1,0
35,0_8_6,1_0_2,1,0
36,0_8_8,1_6_8,1,0
37,0_9_2,1_1_3,1,0
38,0_9_3,1_1_0,1,0
39,0_9_5,1_1_2,1,0
0,1_0_2,2_9_0,1,1
1,1_0_3,2_7_1,1,1
2,1_0_3,2_9_0,1,1
3,1_1_0,2_9_2,1,1
4,1_1_2,2_8_0,1,1
5,1_1_2,2_9_1,1,1
6,1_1_3,2_8_1,1,1
7,1_2_0,2_7_0,1,1
8,1_2_1,2_8_3,1,1
9,1_2_2,2_2_4,1,1
10,1_2_2,2_5_3,1,1
11,1_3_0,2_6_1,1,1
12,1_3_1,2_7_3,1,1
13,1_3_2,2_7_3,1,1
14,1_3_3,2_3_3,1,1
15,1_4_0,2_7_0,1,1
16,1_4_1,2_5_4,1,1
17,1_4_3,2_3_2,1,1
18,1_4_5,2_6_5,1,1
19,1_4_6,2_1_5,1,1
20,1_4_6,2_2_5,1,1
21,1_5_0,2_4_1,1,1
22,1_5_1,2_5_2,1,1
23,1_5_4,2_4_6,1,1
24,1_6_6,2_7_6,1,1
25,1_6_7,2_0_7,1,1
26,1_6_8,2_2_3,1,1
27,1_7_5,2_2_6,1,1
28,1_7_7,2_0_8,1,1
29,1_7_9,2_5_6,1,1
30,1_8_6,2_0_6,1,1
31,1_8_8,2_0_7,1,1
32,1_8_8,2_1_9,1,1
33,1_8_9,2_3_9,1,1
34,1_9_6,2_0_6,1,1
35,1_9_7,2_2_8,1,1
36,1_9_7,2_3_7,1,1
37,1_9_9,2_2_9,2,1
38,1_9_9,2_4_8,1,1
0,2_0_6,3_4_9,1,2
1,2_0_6,3_5_7,1,2
2,2_0_7,3_5_7,1,2
3,2_0_7,3_6_6,1,2
4,2_0_8,3_0_5,1,2
5,2_1_5,3_5_5,1,2
6,2_1_9,3_0_3,1,2
7,2_2_3,3_4_6,1,2
8,2_2_4,3_9_0,1,2
9,2_2_5,3_4_5,1,2
10,2_2_6,3_4_7,1,2
11,2_2_8,3_1_5,1,2
12,2_2_9,3_0_3,1,2
13,2_2_9,3_0_4,1,2
14,2_3_2,3_5_9,1,2
15,2_3_3,3_6_4,1,2
16,2_3_7,3_0_2,1,2
17,2_3_9,3_1_5,1,2
18,2_4_1,3_5_9,1,2
19,2_4_6,3_4_9,1,2
20,2_4_8,3_0_4,1,2
21,2_5_2,3_8_4,1,2
22,2_5_3,3_9_4,1,2
23,2_5_4,3_8_0,1,2
24,2_5_6,3_3_6,1,2
25,2_6_1,3_9_1,1,2
26,2_6_5,3_4_7,1,2
27,2_7_0,3_9_0,1,2
28,2_7_0,3_9_5,1,2
29,2_7_1,3_1_3,1,2
30,2_7_3,3_9_2,1,2
31,2_7_3,3_9_4,1,2
32,2_7_6,3_4_7,1,2
33,2_8_0,3_8_2,1,2
34,2_8_1,3_1_2,1,2
35,2_8_3,3_9_2,1,2
36,2_9_0,3_2_6,1,2
37,2_9_0,3_9_5,1,2
38,2_9_1,3_9_4,1,2
39,2_9_2,3_8_2,1,2
0,3_0_2,4_0_9,1,3
1,3_0_3,4_0_9,2,3
2,3_0_4,4_0_9,2,3
3,3_0_5,4_1_9,1,3
4,3_1_2,4_1_9,1,3
5,3_1_3,4_1_9,1,3
6,3_1_5,4_0_9,1,3
