,cell_label_1,cell_label_2,weight,level
0,0_0_4,1_2_0,1,0
1,0_0_6,1_7_5,1,0
2,0_2_4,1_4_1,1,0
3,0_2_6,1_3_1,1,0
4,0_2_8,1_0_3,1,0
5,0_3_0,1_8_8,1,0
6,0_3_9,1_3_0,1,0
7,0_4_0,1_9_6,1,0
8,0_4_4,1_4_3,1,0
9,0_4_8,1_4_0,1,0
10,0_5_8,1_5_1,1,0
11,0_5_9,1_4_6,1,0
12,0_6_4,1_2_2,1,0
13,0_6_8,1_0_3,1,0
14,0_7_3,1_9_9,1,0
15,0_8_0,1_2_2,1,0
16,0_8_6,1_0_2,1,0
17,0_9_2,1_1_3,1,0
18,0_9_3,1_1_0,1,0
19,0_9_5,1_1_2,1,0
0,1_0_2,2_9_0,1,1
1,1_0_3,2_7_1,1,1
2,1_0_3,2_9_0,1,1
3,1_1_0,2_9_2,1,1
4,1_1_2,2_8_0,1,1
5,1_1_3,2_8_1,1,1
6,1_2_0,2_7_0,1,1
7,1_2_2,2_2_4,1,1
8,1_2_2,2_5_3,1,1
9,1_3_0,2_6_1,1,1
10,1_3_1,2_7_3,1,1
11,1_4_0,2_7_0,1,1
12,1_4_1,2_5_4,1,1
13,1_4_3,2_3_2,1,1
14,1_4_6,2_1_5,1,1
15,1_5_1,2_5_2,1,1
16,1_7_5,2_2_6,1,1
17,1_8_8,2_0_7,1,1
18,1_9_6,2_0_6,1,1
19,1_9_9,2_2_9,1,1
0,2_0_6,3_5_7,1,2
1,2_0_7,3_6_6,1,2
2,2_1_5,3_5_5,1,2
3,2_2_4,3_9_0,1,2
4,2_2_6,3_4_7,1,2
5,2_2_9,3_0_4,1,2
6,2_3_2,3_5_9,1,2
7,2_5_2,3_8_4,1,2
8,2_5_3,3_9_4,1,2
9,2_5_4,3_8_0,1,2
10,2_6_1,3_9_1,1,2
11,2_7_0,3_9_0,1,2
12,2_7_0,3_9_5,1,2
13,2_7_1,3_1_3,1,2
14,2_7_3,3_9_2,1,2
15,2_8_0,3_8_2,1,2
16,2_8_1,3_1_2,1,2
17,2_9_0,3_2_6,1,2
18,2_9_0,3_9_5,1,2
19,2_9_2,3_8_2,1,2
0,3_0_4,4_0_9,1,3
1,3_1_2,4_1_9,1,3
2,3_1_3,4_1_9,1,3
3,3_2_6,4_9_2,1,3
4,3_4_7,4_8_2,1,3
5,3_5_5,4_6_1,1,3
6,3_5_7,4_7_2,1,3
7,3_5_9,4_7_1,1,3
8,3_6_6,4_7_3,1,3
9,3_8_0,4_4_0,1,3
10,3_8_2,4_5_0,1,3
11,3_8_2,4_7_0,1,3
12,3_8_4,4_6_0,1,3
13,3_9_0,4_1_8,1,3
14,3_9_0,4_5_0,1,3
15,3_9_1,4_4_0,1,3
16,3_9_2,4_4_0,1,3
17,3_9_4,4_5_0,1,3
18,3_9_5,4_6_0,2,3
0,4_0_9,5_0_9,1,4
1,4_1_8,5_8_1,1,4
2,4_1_9,5_0_9,2,4
3,4_4_0,5_8_0,2,4
4,4_4_0,5_9_0,1,4
5,4_5_0,5_7_0,1,4
6,4_5_0,5_8_0,2,4
7,4_6_0,5_7_0,1,4
8,4_6_0,5_8_0,2,4
9,4_6_1,5_9_1,1,4
10,4_7_0,5_8_0,1,4
11,4_7_1,5_8_1,1,4
12,4_7_2,5_9_0,1,4
13,4_7_3,5_9_0,1,4
14,4_8_2,5_9_0,1,4
15,4_9_2,5_8_2,1,4
0,5_0_9,6_0_0,2,5
1,5_0_9,6_0_2,1,5
2,5_7_0,6_9_5,1,5
3,5_7_0,6_9_7,1,5
4,5_8_0,6_9_4,1,5
5,5_8_0,6_9_5,1,5
6,5_8_0,6_9_6,2,5
7,5_8_0,6_9_8,3,5
8,5_8_1,6_8_7,1,5
9,5_8_1,6_9_3,1,5
10,5_8_2,6_7_9,1,5
11,5_9_0,6_8_7,1,5
12,5_9_0,6_8_8,1,5
13,5_9_0,6_9_6,1,5
14,5_9_0,6_9_9,1,5
15,5_9_1,6_8_6,1,5
